log10(dx) log10(L2)
 0.301030E+00 -0.776964E+00
 0.000000E+00 -0.139442E+01
-0.176091E+00 -0.176674E+01
-0.301030E+00 -0.204327E+01
-0.397940E+00 -0.226966E+01
-0.477121E+00 -0.246517E+01
-0.544068E+00 -0.263941E+01
-0.602060E+00 -0.279809E+01
-0.653212E+00 -0.294496E+01
-0.698970E+00 -0.308176E+01
-0.740363E+00 -0.321040E+01
-0.778151E+00 -0.333160E+01
-0.812913E+00 -0.344692E+01
-0.845098E+00 -0.355573E+01
-0.875061E+00 -0.365923E+01
-0.903090E+00 -0.375781E+01
-0.929419E+00 -0.385129E+01
-0.954243E+00 -0.394057E+01
-0.977724E+00 -0.402547E+01
-0.100000E+01 -0.410669E+01
-0.102119E+01 -0.418434E+01
-0.104139E+01 -0.425864E+01
-0.106070E+01 -0.432989E+01
-0.107918E+01 -0.439849E+01
-0.109691E+01 -0.446507E+01
-0.111394E+01 -0.452844E+01
-0.113033E+01 -0.459054E+01
-0.114613E+01 -0.465015E+01
-0.116137E+01 -0.470804E+01
-0.117609E+01 -0.476421E+01
-0.119033E+01 -0.481862E+01
-0.120412E+01 -0.487125E+01
-0.121748E+01 -0.492294E+01
-0.123045E+01 -0.497320E+01
-0.124304E+01 -0.502203E+01
-0.125527E+01 -0.506960E+01
-0.126717E+01 -0.511582E+01
-0.127875E+01 -0.516160E+01
-0.129003E+01 -0.520488E+01
-0.130103E+01 -0.524813E+01
-0.131175E+01 -0.528965E+01
-0.132222E+01 -0.533036E+01
-0.133244E+01 -0.536880E+01
-0.134242E+01 -0.540727E+01
-0.135218E+01 -0.544409E+01
-0.136173E+01 -0.548036E+01
-0.137107E+01 -0.551480E+01
-0.138021E+01 -0.554815E+01
-0.138917E+01 -0.557957E+01
-0.139794E+01 -0.561072E+01
-0.140654E+01 -0.563998E+01
-0.141497E+01 -0.566797E+01
-0.142325E+01 -0.569487E+01
-0.143136E+01 -0.572035E+01
-0.143933E+01 -0.574381E+01
-0.144716E+01 -0.576706E+01
-0.145484E+01 -0.578777E+01
-0.146240E+01 -0.580874E+01
-0.146982E+01 -0.582676E+01
-0.147712E+01 -0.584550E+01
-0.148430E+01 -0.586220E+01
-0.149136E+01 -0.587793E+01
-0.149831E+01 -0.589296E+01
-0.150515E+01 -0.590723E+01
-0.151188E+01 -0.591953E+01
-0.151851E+01 -0.593244E+01
-0.152504E+01 -0.594419E+01
-0.153148E+01 -0.595483E+01
-0.153782E+01 -0.596567E+01
-0.154407E+01 -0.597517E+01
-0.155023E+01 -0.598469E+01
-0.155630E+01 -0.599400E+01
-0.156229E+01 -0.600168E+01
-0.156820E+01 -0.600990E+01
-0.157403E+01 -0.601777E+01
-0.157978E+01 -0.602564E+01
-0.158546E+01 -0.603290E+01
-0.159106E+01 -0.603947E+01
-0.159660E+01 -0.604635E+01
-0.160206E+01 -0.605298E+01
-0.160746E+01 -0.605935E+01
-0.161278E+01 -0.606560E+01
-0.161805E+01 -0.607165E+01
-0.162325E+01 -0.607751E+01
-0.162839E+01 -0.608356E+01
-0.163347E+01 -0.608924E+01
-0.163849E+01 -0.609449E+01
-0.164345E+01 -0.609982E+01
-0.164836E+01 -0.610567E+01
-0.165321E+01 -0.611092E+01
-0.165801E+01 -0.611606E+01
-0.166276E+01 -0.612143E+01
-0.166745E+01 -0.612677E+01
-0.167210E+01 -0.613149E+01
-0.167669E+01 -0.613653E+01
-0.168124E+01 -0.614179E+01
-0.168574E+01 -0.614664E+01
-0.169020E+01 -0.615230E+01
-0.169461E+01 -0.615689E+01
-0.169897E+01 -0.616189E+01
-0.170329E+01 -0.616669E+01
-0.170757E+01 -0.617141E+01
-0.171181E+01 -0.617612E+01
-0.171600E+01 -0.618119E+01
-0.172016E+01 -0.618573E+01
-0.172428E+01 -0.619018E+01
-0.172835E+01 -0.619461E+01
-0.173239E+01 -0.619933E+01
-0.173640E+01 -0.620359E+01
-0.174036E+01 -0.620823E+01
-0.174429E+01 -0.621280E+01
-0.174819E+01 -0.621731E+01
-0.175205E+01 -0.622177E+01
-0.175587E+01 -0.622616E+01
-0.175967E+01 -0.623095E+01
-0.176343E+01 -0.623519E+01
-0.176716E+01 -0.623899E+01
-0.177085E+01 -0.624410E+01
-0.177452E+01 -0.624824E+01
-0.177815E+01 -0.625264E+01
-0.178176E+01 -0.625721E+01
-0.178533E+01 -0.626109E+01
-0.178888E+01 -0.626549E+01
-0.179239E+01 -0.626985E+01
-0.179588E+01 -0.627415E+01
-0.179934E+01 -0.627844E+01
-0.180277E+01 -0.628208E+01
-0.180618E+01 -0.628621E+01
-0.180956E+01 -0.629087E+01
-0.181291E+01 -0.629492E+01
-0.181624E+01 -0.629946E+01
-0.181954E+01 -0.630299E+01
