log10(dx) log10(L_inf)
 0.301030E+00 -0.572092E+00
 0.000000E+00 -0.116965E+01
-0.176091E+00 -0.153442E+01
-0.301030E+00 -0.180503E+01
-0.397940E+00 -0.202526E+01
-0.477121E+00 -0.221139E+01
-0.544068E+00 -0.237345E+01
-0.602060E+00 -0.251927E+01
-0.653212E+00 -0.265245E+01
-0.698970E+00 -0.277490E+01
-0.740363E+00 -0.288846E+01
-0.778151E+00 -0.299410E+01
-0.812913E+00 -0.309337E+01
-0.845098E+00 -0.318611E+01
-0.875061E+00 -0.327353E+01
-0.903090E+00 -0.335607E+01
-0.929419E+00 -0.343388E+01
-0.954243E+00 -0.350780E+01
-0.977724E+00 -0.357773E+01
-0.100000E+01 -0.364433E+01
-0.102119E+01 -0.370768E+01
-0.104139E+01 -0.376812E+01
-0.106070E+01 -0.382577E+01
-0.107918E+01 -0.388101E+01
-0.109691E+01 -0.393436E+01
-0.111394E+01 -0.398506E+01
-0.113033E+01 -0.403447E+01
-0.114613E+01 -0.408170E+01
-0.116137E+01 -0.412734E+01
-0.117609E+01 -0.417133E+01
-0.119033E+01 -0.421393E+01
-0.120412E+01 -0.425507E+01
-0.121748E+01 -0.429519E+01
-0.123045E+01 -0.433398E+01
-0.124304E+01 -0.437167E+01
-0.125527E+01 -0.440843E+01
-0.126717E+01 -0.444406E+01
-0.127875E+01 -0.447921E+01
-0.129003E+01 -0.451251E+01
-0.130103E+01 -0.454569E+01
-0.131175E+01 -0.457775E+01
-0.132222E+01 -0.460939E+01
-0.133244E+01 -0.463926E+01
-0.134242E+01 -0.466957E+01
-0.135218E+01 -0.469881E+01
-0.136173E+01 -0.472778E+01
-0.137107E+01 -0.475570E+01
-0.138021E+01 -0.478323E+01
-0.138917E+01 -0.480971E+01
-0.139794E+01 -0.483627E+01
-0.140654E+01 -0.486191E+01
-0.141497E+01 -0.488700E+01
-0.142325E+01 -0.491199E+01
-0.143136E+01 -0.493636E+01
-0.143933E+01 -0.495976E+01
-0.144716E+01 -0.498336E+01
-0.145484E+01 -0.500582E+01
-0.146240E+01 -0.502892E+01
-0.146982E+01 -0.505012E+01
-0.147712E+01 -0.507259E+01
-0.148430E+01 -0.509416E+01
-0.149136E+01 -0.511468E+01
-0.149831E+01 -0.513562E+01
-0.150515E+01 -0.515679E+01
-0.151188E+01 -0.517610E+01
-0.151851E+01 -0.519658E+01
-0.152504E+01 -0.521604E+01
-0.153148E+01 -0.523444E+01
-0.153782E+01 -0.525392E+01
-0.154407E+01 -0.527199E+01
-0.155023E+01 -0.528483E+01
-0.155630E+01 -0.527928E+01
-0.156229E+01 -0.527495E+01
-0.156820E+01 -0.527057E+01
-0.157403E+01 -0.526725E+01
-0.157978E+01 -0.526404E+01
-0.158546E+01 -0.526171E+01
-0.159106E+01 -0.525907E+01
-0.159660E+01 -0.525779E+01
-0.160206E+01 -0.525648E+01
-0.160746E+01 -0.525512E+01
-0.161278E+01 -0.525406E+01
-0.161805E+01 -0.525349E+01
-0.162325E+01 -0.525237E+01
-0.162839E+01 -0.525282E+01
-0.163347E+01 -0.525239E+01
-0.163849E+01 -0.525251E+01
-0.164345E+01 -0.525222E+01
-0.164836E+01 -0.525285E+01
-0.165321E+01 -0.525374E+01
-0.165801E+01 -0.525408E+01
-0.166276E+01 -0.525510E+01
