log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.4796904087E+00 -0.4773106241E+00 -0.4332064887E+00
-0.1204119983E+01 -0.1000625602E+01 -0.9928348567E+00 -0.9064689584E+00
-0.1505149978E+01 -0.1522177657E+01 -0.1498168771E+01 -0.1359519053E+01
-0.1806179974E+01 -0.2017727016E+01 -0.1959155608E+01 -0.1774256348E+01
-0.2107209970E+01 -0.2450799845E+01 -0.2374863562E+01 -0.2158937572E+01
-0.2408239965E+01 -0.2851360453E+01 -0.2769147263E+01 -0.2538027578E+01
-0.2709269961E+01 -0.3216492156E+01 -0.3158048924E+01 -0.2946048754E+01
-0.3010299957E+01 -0.3535209504E+01 -0.3487373850E+01 -0.3304946698E+01
-0.3311329952E+01 -0.3863969915E+01 -0.3818184475E+01 -0.3646990955E+01
-0.3612359948E+01 -0.4212759849E+01 -0.4167506912E+01 -0.4002346357E+01
