log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.1244222604E+01 -0.1201086006E+01 -0.9996935230E+00
-0.1204119983E+01 -0.1883159541E+01 -0.1801805229E+01 -0.1473877734E+01
-0.1505149978E+01 -0.2493741334E+01 -0.2404031653E+01 -0.2045641826E+01
-0.1806179974E+01 -0.3097895485E+01 -0.3006074800E+01 -0.2640162083E+01
-0.2107209970E+01 -0.3699712392E+01 -0.3608022853E+01 -0.3240181983E+01
-0.2408239965E+01 -0.4301622960E+01 -0.4209838873E+01 -0.3841407026E+01
-0.2709269961E+01 -0.4903377825E+01 -0.4811404658E+01 -0.4442607162E+01
-0.3010299957E+01 -0.5504886449E+01 -0.5412469615E+01 -0.5043149186E+01
-0.3311329952E+01 -0.6105810037E+01 -0.6012513733E+01 -0.5642216845E+01
-0.3612359948E+01 -0.6705497747E+01 -0.6610438161E+01 -0.6238272467E+01
