log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.1806813547E+01 -0.1768141310E+01 -0.1603039545E+01
-0.1204119983E+01 -0.2459792233E+01 -0.2361846838E+01 -0.2088214017E+01
-0.1505149978E+01 -0.3067218759E+01 -0.2970508358E+01 -0.2664532948E+01
-0.1806179974E+01 -0.3670043508E+01 -0.3574375801E+01 -0.3263823323E+01
-0.2107209970E+01 -0.4272527129E+01 -0.4176973264E+01 -0.3867132901E+01
-0.2408239965E+01 -0.4874894932E+01 -0.4779333662E+01 -0.4468685287E+01
-0.2709269961E+01 -0.5477366784E+01 -0.5381792522E+01 -0.5070717341E+01
-0.3010299957E+01 -0.6080173164E+01 -0.5984566261E+01 -0.5672910134E+01
-0.3311329952E+01 -0.6683532805E+01 -0.6587887407E+01 -0.6275096240E+01
-0.3612359948E+01 -0.7287516901E+01 -0.7191833004E+01 -0.6877055201E+01
